,STEMGRADS.MHL.A,STEMGRADS.AZE.A,STEMGRADS.COL.A,STEMGRADS.ARE.A,STEMGRADS.CZE.A,STEMGRADS.GIB.A,STEMGRADS.FRA.A,STEMGRADS.GEO.A,STEMGRADS.MNG.A,STEMGRADS.SWE.A,STEMGRADS.TUR.A,STEMGRADS.GHA.A,STEMGRADS.HUN.A,STEMGRADS.IND.A,STEMGRADS.JOR.A,STEMGRADS.LTU.A,STEMGRADS.SLV.A,STEMGRADS.UKR.A,STEMGRADS.BLR.A,STEMGRADS.DZA.A,STEMGRADS.EST.A,STEMGRADS.MEX.A,STEMGRADS.NZL.A,STEMGRADS.QAT.A,STEMGRADS.ALB.A,STEMGRADS.BIH.A,STEMGRADS.LKA.A,STEMGRADS.ISR.A,STEMGRADS.RWA.A,STEMGRADS.SAU.A,STEMGRADS.SGP.A,STEMGRADS.TTO.A,STEMGRADS.SVN.A,STEMGRADS.TUN.A,STEMGRADS.BGR.A,STEMGRADS.CRI.A,STEMGRADS.CUB.A,STEMGRADS.UZB.A,STEMGRADS.ARM.A,STEMGRADS.BFA.A,STEMGRADS.BWA.A,STEMGRADS.LUX.A,STEMGRADS.MAR.A,STEMGRADS.MKD.A,STEMGRADS.MLT.A,STEMGRADS.PAN.A,STEMGRADS.TCA.A,STEMGRADS.CAN.A,STEMGRADS.AND.A,STEMGRADS.DNK.A,STEMGRADS.GRC.A,STEMGRADS.ISL.A,STEMGRADS.SYR.A,STEMGRADS.DOM.A,STEMGRADS.EGY.A,STEMGRADS.SXM.A,STEMGRADS.OMN.A,STEMGRADS.ECU.A,STEMGRADS.HRV.A,STEMGRADS.PHL.A,STEMGRADS.WSM.A,STEMGRADS.TKM.A,STEMGRADS.TCD.A,STEMGRADS.MDG.A,STEMGRADS.BMU.A,STEMGRADS.SMR.A,STEMGRADS.SVK.A,STEMGRADS.SYC.A,STEMGRADS.VGB.A,STEMGRADS.ZAF.A,STEMGRADS.CYP.A,STEMGRADS.IRL.A,STEMGRADS.KGZ.A,STEMGRADS.AUS.A,STEMGRADS.AUT.A,STEMGRADS.BEL.A,STEMGRADS.CHE.A,STEMGRADS.NLD.A,STEMGRADS.POL.A,STEMGRADS.PSE.A,STEMGRADS.USA.A,STEMGRADS.DEU.A,STEMGRADS.ESP.A,STEMGRADS.GBR.A,STEMGRADS.FIN.A,STEMGRADS.ITA.A,STEMGRADS.MDA.A,STEMGRADS.LVA.A,STEMGRADS.MCO.A,STEMGRADS.MYS.A,STEMGRADS.MUS.A,STEMGRADS.NOR.A,STEMGRADS.ROU.A,STEMGRADS.PRT.A,STEMGRADS.ARG.A,STEMGRADS.BHR.A,STEMGRADS.BLZ.A,STEMGRADS.CHL.A,STEMGRADS.KOR.A,STEMGRADS.LBN.A,STEMGRADS.MAC.A,STEMGRADS.SRB.A,STEMGRADS.URY.A,STEMGRADS.THA.A,STEMGRADS.BRA.A,STEMGRADS.LIE.A,STEMGRADS.BEN.A,STEMGRADS.NAM.A
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.45953941,,,,,,,,,,,,,42.27920914,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.09465,,,18.39093971,17.73847961,,23.78615952,,,24.12339973,,,,,,16.06138039,24.49624062,,,,,,41.83769989,,,,,,,,,
2000,,,,,24.71335983,,30.55257034,22.98324966,22.89751053,31.07807922,30.65550995,,13.21910954,,,26.75408936,,,,,19.41802979,24.36202049,,21.02564049,7.032730103,,,,,,,,,,18.29059029,,,,,,,,,30.91613007,11.98180008,,,,,18.26263046,,19.73019028,,,,,,,27.28223991,,24.3842392,,13.70629025,,,,22.25649071,0,,,,34.49974823,,20.3021698,,19.37999,25.27604,16.31534958,,20.13780022,,26.91868019,25.42914963,24.92054939,26.41494942,23.28071976,,17.13692093,,,,16.70619965,25.13100052,18.52333069,,,,,40.4214592,20.82957077,,,,,,,,
2001,,,,,22.24896049,,,22.27462959,20.24481964,32.6197319,,,11.20728016,,,26.49338913,,30.62811089,,,18.71052933,25.09962082,,20.30303001,5.911650181,,,,,,,,20.33192062,,20.58984947,13.3519001,,,,,8.244680405,,18.40242958,27.75378036,9.635549545,,,,,21.82126045,,19.0222702,,,,,,,25.09502983,,,,,,15.15151978,,26.62529945,0,,,,30.8001194,20.63196945,,,19.31284,24.39791,16.10479927,,20.74641991,,26.2793293,27.28025055,27.50637054,29.95665932,25.74423981,,16.23852921,,,,16.58357048,24.0915699,,,,,,41.41957855,23.25453949,3.202330112,,,,13.39323997,,,1.97044003
2002,,,24.69111061,,23.44035912,,30.36725044,22.64092064,19.13870049,32.33110809,,,13.88852978,,,23.97068977,21.26239014,28.70751953,,,17.27202034,25.39451981,,16.95191956,,,,,,,,,20.02380943,,27.60330963,12.26618004,13.12790012,,,,13.64204979,,,26.87915039,8.618840218,18.37002945,,,34.48276138,22.22986031,,18.17767906,,,,,,,22.83427048,,,,,,,,26.13451004,0,0,,13.13842964,29.14852905,16.19832039,22.94787025,,19.37647,23.94322,16.44759941,,,,26.51639938,27.93445969,26.96746063,28.2919693,23.91379929,,12.31534004,,,,15.74936008,,19.43117905,,,,,41.08398056,22.69396973,3.81498003,,,,12.80331039,,,
2003,,,,,22.90897942,,29.88172913,23.54060936,19.61834908,30.94132996,,,12.76661968,,,23.23097038,21.76963043,26.51762962,,,18.92275047,28.92856026,,16.45022011,6.132259846,,,,,,,,18.74237061,,21.31269073,,,,,,,,,23.7842598,9.130860329,19.66502953,,,45.94594955,19.82785034,,16.41493988,,,,,,,21.48630905,,,,,,,,25.0941906,0,,,12.79743004,29.41383934,18.67472076,22.5710907,,,22.54016,,,23.18412018,,,28.97752953,25.90254021,29.95284081,23.48022079,,14.32044983,,,,,,20.38651085,,18.6301403,,,40.77452087,,2.592920065,,,,12.56602955,40.98360825,,6.764259815
2004,,,,,22.75629997,,27.67510986,24.17797089,18.21972084,29.10762978,29.29096031,,11.35138988,,25.48843002,22.75363922,,,24.9878006,,18.53443909,,,,,,,,,9.399060249,,,,,22.04233932,,,,,,,,,23.32755089,10.30303001,14.35004044,,,37.77777863,19.47738075,28.27672005,16.2342205,,,,,,,,,,,,,,,25.04029083,0,,,,27.68567085,14.61674976,,,,22.48036,16.66115952,,20.96760941,,,28.76682091,22.77503967,29.09090996,22.10994911,,13.93826008,,45.02602005,,16.48088074,22.96150017,23.6758194,,,,26.4616394,38.66941833,21.9796505,,,,,12.3688097,5.479450226,,
2005,,,,,22.52743912,,,,18.84181023,26.06455994,28.45119095,,11.73054981,,28.19548988,22.88139915,21.52269936,25.05303955,25.72697067,,22.8440609,27.66677094,18.30369949,,,,,,,18.30533028,,,19.14233017,,22.01008034,,,,,,,,,23.24600029,7.551990032,19.25296021,,,34.92063141,18.90592003,27.99806023,14.82369041,,,,,,,18.11949921,,,,,20.08791924,18.36734962,,26.81014061,0,,,,,15.46308041,22.17170906,,,23.97431,,,,,,27.89454079,22.2018795,30.11128998,22.22628975,,13.81015968,,,,16.3477993,22.52737999,24.96655083,,19.91205978,,,37.43811035,20.83658028,5.136879921,,,,12.34566975,,,3.759089947
2006,,,,,,,27.69936943,21.59538078,19.54038048,26.02511024,22.42008972,,13.62917995,,,23.06023979,21.04647064,24.8407402,,,21.61787987,27.32850075,,,,,,,,31.65114975,,,17.16534996,,,,,,,,,,,21.68897057,11.09864998,20.44819069,,,38.09524155,18.1661396,,14.50852966,,,,,,,18.04998016,,,,,16.3022995,,,24.57328033,0,,,13.91913033,,15.73810005,20.31905937,,17.18294,22.97433,,,,,,27.54784966,21.77256966,30.32926941,21.70059013,,13.50481987,,42.68078995,,,20.33909035,24.40122986,13.78744984,17.91044998,,26.51939964,35.86753845,20.13985062,4.95510006,,,,,34.84848022,,
2007,,,,,24.8796196,,27.23559952,16.22472,18.27820015,24.15411949,21.93650055,,,,25.11194992,21.79454041,22.10519028,24.76848984,26.27042961,25.38279915,23.7789402,26.67837906,,,,,,,,24.55270004,,,18.11750984,,22.11540985,13.67759991,,,,,,,23.87647057,17.51347923,,20.7016201,,,,19.97286034,22.10334969,12.87963963,,,,,27.6700592,12.01963043,20.69462013,,,,,21.33423996,22.15568924,,24.34291077,0,,,12.35095978,,16.67571068,19.08358955,31.1736393,,,,,16.76811028,,,27.14930916,21.69634056,,21.19487953,,12.54638004,,45.46371841,,15.6570797,19.68456078,29.29002953,12.85223961,,,26.98405075,34.28087997,23.14723015,3.870409966,24.68147087,11.73894024,,13.04442978,31.50684929,,
2008,,18.61330032,,,26.03095055,,27.17922974,,17.37896919,23.86541939,22.30426025,,14.81011963,,,22.35409927,27.78937912,24.7742691,,,23.55223083,26.60037994,,23.14142036,,,,,,24.90189934,,,18.98263931,,18.94008064,,,,,,,23.4899292,33.65377045,17.84407043,12.85816956,19.52424049,,,23.80952072,19.49189949,24.89246941,13.66014957,,,,,,13.28052998,22.9564209,,,,,20.0182991,,,21.30532074,0,,,12.60365009,,15.56861019,18.34757996,30.21138954,16.07128,21.36357,,,16.98516083,,,26.72246933,21.40638924,,19.80365944,,12.94108963,,40.24145126,,15.7390604,17.10860062,31.75182915,12.20761013,,,22.67700005,32.80392838,22.03610039,3.919830084,21.91576958,12.01690006,,12.34484959,21.98582077,,
2009,,16.07588959,,,24.51402092,,27.02154922,,18.61120033,24.41584969,21.27565002,,16.88592911,,,22.34538078,27.4059906,25.86379051,,24.01218987,22.69997025,25.92021942,,20.62615013,,,,,,24.68732071,,,19.25518036,,19.88997078,,,,,,,,35.94377136,21.78915977,15.04922962,19.33567047,,,,18.94045067,,14.67014027,,,,,33.72616959,,24.55116081,,,,,21.59555054,23.74101067,,21.17190933,0,26.89654922,,13.6886301,21.18730927,17.05521011,17.27754021,30.22236061,16.36946,22.35676,,,17.3165493,,,26.4021492,21.81572914,28.4765892,,,13.83119965,,37.72045135,,15.79959965,23.30726051,30.08107948,14.45357037,,,20.97281075,31.24279976,25.13249016,4.069930077,22.12310028,13.63741016,,12.77501011,14.62263966,,
